letter,name,url
S,SQUIRES KITCHEN,/merker/squires+kitchen
S,STABIL,/merker/stabil
S,STANLEY,/merker/stanley
S,STAR TRADING,/merker/star+trading
S,STASHER,/merker/stasher
S,STELKOMPAGNIET,/merker/stelkompagniet
S,STELTON,/merker/stelton
S,STERLING,/merker/sterling
S,STIGA,/merker/stiga
S,Strahldur,/merker/strahldur
S,STUDIO ROUND,/merker/studio+round
S,SUNWIND,/merker/sunwind
T,TD RENT,/merker/td+rent
T,TEC7,/merker/tec7
T,TEFAL,/merker/tefal
T,TENDERFLAME,/merker/tenderflame
T,TESA,/merker/tesa
T,The MeatStick,/merker/the+meatstick
T,THERMACELL,/merker/thermacell
T,THERMOS,/merker/thermos
T,TIGER,/merker/tiger
T,TOM,/merker/tom
T,TONI&GUY,/merker/toni%26guy
T,TOPEX,/merker/topex
T,TRAMONTINA,/merker/tramontina
T,TRESTJERNER,/merker/trestjerner
T,TRINOL,/merker/trinol
T,TRISTAR,/merker/tristar
T,TRUDEAU,/merker/trudeau
T,TRYGGE HJEM,/merker/trygge+hjem
T,TYRILIN,/merker/tyrilin
U,UYUNI,/merker/uyuni
V,VALUX,/merker/valux
V,VARDE,/merker/varde
V,VICTOR,/merker/victor
V,VICTORINOX,/merker/victorinox
V,VIDAL SASSOON,/merker/vidal+sassoon
V,VIKING,/merker/viking
W,WAHL,/merker/wahl
W,WASABI,/merker/wasabi
W,WD-40,/merker/wd-40
W,WEBER,/merker/weber
W,WHITE RABBIT,/merker/white+rabbit
W,WIK & WALSØE,/merker/wik+%26+wals%C3%B8e
W,WILFA,/merker/wilfa
W,WILTON,/merker/wilton
W,WMF,/merker/wmf
W,WOLF,/merker/wolf
W,WOLL,/merker/woll
W,WONDERCANDLE,/merker/wondercandle
W,WORKHAND,/merker/workhand
X,X-IT,/merker/x-it
Y,YALE,/merker/yale
Z,ZACK,/merker/zack
Z,ZASSENHAUS,/merker/zassenhaus
Z,ZENKER,/merker/zenker
Z,ZONE DENMARK,/merker/zone+denmark
Z,ZWILLING,/merker/zwilling
Z,ZYLISS,/merker/zyliss
Ø,ØYO,/merker/%C3%B8yo
Å,ÅVIKEN,/merker/%C3%A5viken
